iter	Passed	Remaining
0	261	313466
1	347	208224
2	433	172866
3	549	164164
4	637	152280
5	698	139048
6	800	136432
7	877	130779
8	980	129771
9	1076	128136
10	1185	128185
11	1291	127879
12	1390	126923
13	1476	125103
14	1569	124000
15	1659	122792
16	1754	122060
17	1844	121108
18	1939	120569
19	2030	119808
20	2126	119406
21	2218	118778
22	2331	119330
23	2428	118982
24	2522	118574
25	2620	118305
26	2720	118169
27	2839	118834
28	2907	117385
29	3002	117104
30	3097	116790
31	3188	116384
32	3280	115997
33	3414	117096
34	3531	117538
35	3642	117770
36	3749	117867
37	3872	118416
38	3979	118463
39	4059	117723
40	4168	117823
41	4268	117692
42	4352	117125
43	4427	116328
44	4551	116823
45	4648	116605
46	4733	116133
47	4836	116081
48	4907	115265
49	4996	114910
50	5051	113813
51	5167	114091
52	5262	113881
53	5306	112625
54	5404	112505
55	5478	111924
56	5599	112290
57	5703	112303
58	5927	114622
59	6048	114923
60	6135	114568
61	6242	114580
62	6306	113812
63	6347	112665
64	6479	113134
65	6551	112566
66	6653	112511
67	6776	112811
68	6821	111810
69	6850	110579
70	6960	110686
71	7043	110352
72	7077	109257
73	7200	109564
74	7309	109635
75	7401	109467
76	7493	109295
77	7591	109204
78	7710	109411
79	7733	108270
80	7850	108459
81	7864	107222
82	7964	107179
83	8064	107145
84	8166	107124
85	8201	106242
86	8385	107280
87	8474	107092
88	8611	107504
89	8714	107472
90	8771	106901
91	8879	106936
92	8952	106569
93	9061	106619
94	9209	107121
95	9325	107246
96	9462	107602
97	9578	107707
98	9649	107317
99	9722	106946
100	9837	107046
101	9966	107289
102	10074	107303
103	10200	107502
104	10301	107434
105	10334	106656
106	10457	106827
107	10554	106714
108	10650	106603
109	10752	106551
110	10826	106220
111	10949	106362
112	11025	106058
113	11189	106593
114	11304	106656
115	11366	106216
116	11487	106330
117	11590	106280
118	11678	106091
119	11785	106071
120	11943	106505
121	12047	106449
122	12131	106224
123	12176	105661
124	12274	105560
125	12374	105478
126	12474	105397
127	12614	105648
128	12716	105578
129	12879	106004
130	13020	106250
131	13043	105534
132	13136	105390
133	13233	105278
134	13341	105251
135	13446	105195
136	13548	105123
137	13638	104954
138	13764	105064
139	13860	104945
140	13981	105011
141	14072	104847
142	14151	104598
143	14241	104438
144	14335	104300
145	14421	104113
146	14519	104006
147	14627	103975
148	14723	103857
149	14828	103802
150	14937	103770
151	15030	103632
152	15126	103510
153	15218	103369
154	15318	103274
155	15422	103215
156	15521	103116
157	15624	103042
158	15736	103027
159	15839	102959
160	15945	102905
161	16062	102919
162	16161	102816
163	16251	102664
164	16335	102469
165	16426	102321
166	16537	102295
167	16669	102396
168	16782	102382
169	16874	102241
170	16992	102252
171	17087	102124
172	17197	102090
173	17290	101955
174	17390	101858
175	17486	101737
176	17583	101627
177	17684	101536
178	17785	101448
179	17883	101341
180	17974	101195
181	18066	101052
182	18165	100953
183	18319	101153
184	18464	101303
185	18561	101188
186	18665	101112
187	18790	101146
188	18954	101391
189	19061	101326
190	19154	101188
191	19304	101346
192	19463	101551
193	19579	101533
194	19674	101401
195	19776	101304
196	19897	101307
197	20049	101462
198	20156	101390
199	20253	101266
200	20398	101384
201	20514	101352
202	20607	101211
203	20713	101131
204	20811	101011
205	20903	100866
206	21004	100762
207	21106	100660
208	21205	100550
209	21301	100422
210	21412	100364
211	21552	100442
212	21662	100378
213	21762	100271
214	21866	100180
215	21955	100021
216	22045	99865
217	22135	99710
218	22223	99547
219	22325	99449
220	22430	99365
221	22546	99326
222	22631	99152
223	22725	99016
224	22819	98884
225	22906	98720
226	23035	98738
227	23131	98612
228	23217	98445
229	23284	98200
230	23373	98046
231	23463	97901
232	23551	97745
233	23640	97593
234	23730	97445
235	23817	97289
236	23931	97240
237	24038	97165
238	24147	97096
239	24247	96989
240	24342	96866
241	24439	96746
242	24548	96680
243	24659	96617
244	24758	96506
245	24857	96399
246	24954	96283
247	25050	96161
