iter	Passed	Remaining
0	207	165938
1	261	104339
2	306	81483
3	365	72833
4	409	65082
5	447	59251
6	561	63616
7	599	59351
8	646	56790
9	698	55218
10	751	53935
11	805	52865
12	855	51818
13	900	50537
14	954	49929
15	1039	50937
16	1135	52315
17	1213	52709
18	1293	53171
19	1377	53720
20	1442	53521
21	1502	53145
22	1607	54302
23	1727	55860
24	1813	56210
25	1883	56068
26	1942	55609
27	1996	55055
28	2029	53967
29	2084	53511
30	2139	53085
31	2197	52748
32	2249	52292
33	2298	51788
34	2349	51348
35	2458	52176
36	2546	52513
37	2595	52044
38	2645	51628
39	2688	51073
40	2739	50721
41	2789	50335
42	2832	49856
43	2873	49379
44	2926	49091
45	2977	48805
46	3027	48504
47	3077	48220
48	3114	47734
49	3162	47436
50	3186	46804
51	3247	46712
52	3298	46494
53	3322	45904
54	3371	45672
55	3406	45260
56	3455	45048
57	3492	44673
58	3540	44465
59	3590	44281
60	3640	44109
61	3690	43927
62	3716	43481
63	3729	42890
64	3778	42725
65	3815	42428
66	3869	42333
67	3929	42299
68	3942	41767
69	3955	41246
70	4003	41106
71	4050	40953
72	4068	40520
73	4118	40403
74	4159	40208
75	4209	40098
76	4267	40069
77	4321	40005
78	4375	39936
79	4391	39519
80	4445	39462
81	4453	38995
82	4508	38945
83	4564	38906
84	4619	38854
85	4632	38462
86	4682	38378
87	4727	38249
88	4777	38163
89	4825	38071
90	4856	37836
91	4908	37770
92	4940	37559
93	4991	37486
94	5044	37431
95	5092	37347
96	5161	37406
97	5235	37504
98	5293	37483
99	5347	37432
100	5407	37421
101	5507	37687
102	5567	37676
103	5622	37625
104	5672	37549
105	5686	37229
106	5738	37165
107	5784	37064
108	5836	36998
109	5887	36933
110	5934	36838
111	5989	36792
112	6020	36601
113	6068	36515
114	6118	36446
115	6151	36274
116	6205	36224
117	6259	36178
118	6311	36116
119	6362	36052
120	6411	35981
121	6468	35948
122	6521	35894
123	6548	35698
124	6603	35657
125	6668	35672
126	6732	35677
127	6793	35667
128	6850	35633
129	6909	35610
130	6963	35561
131	6977	35311
132	7030	35259
133	7082	35201
134	7134	35141
135	7184	35078
136	7244	35059
137	7298	35009
138	7351	34960
139	7402	34896
140	7451	34827
141	7498	34746
142	7541	34650
143	7590	34581
144	7640	34511
145	7691	34452
146	7740	34386
147	7791	34324
148	7844	34271
149	7895	34214
150	7945	34151
151	7998	34097
152	8061	34091
153	8117	34051
154	8170	34001
155	8219	33930
156	8269	33867
157	8318	33799
158	8371	33747
159	8433	33733
160	8521	33819
161	8583	33804
162	8640	33765
163	8698	33734
164	8754	33691
165	8812	33658
166	8874	33639
167	8936	33617
168	9030	33715
169	9115	33779
170	9175	33749
171	9233	33713
172	9285	33651
173	9341	33606
174	9396	33558
175	9450	33506
176	9499	33436
177	9547	33361
178	9598	33299
179	9648	33234
180	9704	33189
181	9756	33128
182	9810	33077
183	9863	33020
184	9915	32962
185	9967	32902
186	10025	32864
187	10091	32852
188	10141	32786
189	10191	32721
190	10245	32666
191	10296	32604
192	10349	32548
193	10403	32496
194	10458	32447
195	10516	32408
196	10571	32358
197	10619	32288
198	10668	32221
199	10719	32159
200	10786	32144
201	10854	32132
202	10914	32098
203	10970	32050
204	11026	32004
205	11077	31942
206	11126	31875
207	11176	31809
208	11226	31745
209	11277	31684
210	11337	31646
211	11394	31603
212	11454	31566
213	11513	31526
214	11572	31489
215	11633	31453
216	11692	31413
217	11751	31373
218	11814	31344
219	11893	31356
220	11945	31296
221	12000	31243
222	12047	31172
223	12101	31118
224	12170	31102
225	12221	31040
226	12273	30979
227	12324	30920
228	12372	30849
229	12409	30753
230	12460	30692
231	12513	30636
232	12564	30575
233	12615	30514
234	12666	30453
235	12713	30384
236	12762	30317
237	12815	30262
238	12865	30198
239	12919	30146
240	12972	30089
241	13020	30021
242	13075	29971
243	13125	29908
244	13176	29847
245	13226	29785
246	13278	29728
247	13328	29666
248	13378	29605
249	13430	29546
250	13479	29484
251	13529	29421
252	13579	29359
253	13634	29308
254	13687	29252
255	13736	29190
256	13789	29136
257	13844	29083
258	13894	29022
259	13948	28970
260	13975	28861
261	14030	28809
262	14084	28758
263	14140	28708
264	14195	28659
265	14262	28631
266	14316	28579
267	14365	28517
268	14415	28455
269	14466	28396
270	14516	28336
271	14565	28274
272	14615	28214
273	14665	28154
274	14716	28095
275	14764	28030
276	14814	27971
277	14862	27907
278	14917	27855
279	14967	27797
280	15021	27743
281	15073	27687
282	15127	27635
283	15177	27576
284	15229	27519
285	15280	27461
286	15331	27404
287	15383	27348
288	15432	27286
289	15483	27229
290	15537	27176
291	15589	27121
292	15642	27067
293	15694	27011
294	15744	26953
295	15797	26897
296	15846	26838
297	15898	26782
298	15948	26723
299	15998	26663
300	16048	26605
301	16106	26559
302	16160	26507
303	16214	26454
304	16266	26400
305	16327	26358
306	16388	26318
307	16445	26269
308	16501	26220
309	16561	26177
310	16622	26135
311	16680	26090
312	16735	26039
313	16792	25991
314	16848	25941
315	16899	25883
316	16951	25828
317	17006	25776
318	17057	25719
319	17111	25667
320	17171	25623
321	17227	25574
322	17301	25550
323	17363	25508
324	17416	25455
325	17470	25401
326	17520	25342
327	17572	25287
328	17627	25235
329	17680	25181
330	17732	25126
331	17787	25073
332	17839	25017
333	17890	24961
334	17928	24885
335	17980	24830
336	18030	24772
337	18080	24714
338	18133	24659
339	18188	24608
340	18240	24552
341	18293	24498
342	18345	24443
343	18402	24393
344	18459	24345
345	18513	24292
346	18571	24244
347	18627	24194
348	18685	24146
349	18742	24097
350	18803	24053
351	18870	24016
352	18935	23977
353	19012	23953
354	19093	23934
355	19161	23898
356	19226	23858
357	19289	23815
358	19350	23770
359	19408	23721
360	19462	23667
361	19515	23612
362	19570	23560
363	19625	23507
364	19679	23453
365	19733	23400
366	19794	23354
367	19851	23304
368	19904	23248
369	19956	23193
370	20049	23184
371	20115	23143
372	20176	23097
373	20232	23045
374	20286	22991
375	20346	22943
376	20402	22892
377	20458	22839
378	20523	22798
379	20587	22754
380	20642	22701
381	20693	22644
382	20751	22593
383	20823	22558
384	20894	22522
385	20951	22471
386	21004	22415
387	21058	22360
388	21109	22303
389	21163	22249
390	21216	22193
391	21271	22139
392	21329	22089
393	21389	22041
394	21452	21995
395	21508	21943
396	21568	21894
397	21624	21841
398	21688	21797
399	21741	21741
400	21801	21692
401	21861	21643
402	21913	21586
403	21965	21530
404	22018	21474
405	22069	21417
406	22120	21359
407	22172	21302
408	22223	21245
409	22275	21188
410	22335	21139
411	22396	21091
412	22454	21040
413	22506	20984
414	22560	20929
415	22621	20881
416	22689	20839
417	22745	20786
418	22798	20731
419	22854	20677
420	22910	20625
421	22967	20573
422	23024	20520
423	23077	20465
424	23130	20409
425	23183	20353
426	23239	20300
427	23300	20252
428	23352	20195
429	23405	20139
430	23456	20082
431	23511	20028
432	23562	19971
433	23616	19916
434	23668	19859
435	23718	19801
436	23771	19746
437	23822	19688
438	23882	19639
439	23939	19586
440	24008	19544
441	24075	19499
442	24138	19452
443	24201	19404
444	24265	19358
445	24322	19305
446	24374	19248
447	24426	19192
448	24478	19136
449	24530	19079
450	24581	19022
451	24636	18967
452	24688	18911
453	24752	18864
454	24818	18818
455	24872	18763
456	24925	18707
457	24976	18650
458	25027	18593
459	25077	18535
460	25128	18478
461	25190	18429
462	25244	18374
463	25295	18317
464	25344	18259
465	25395	18201
466	25444	18143
467	25498	18088
468	25548	18031
469	25597	17972
470	25655	17920
471	25711	17867
472	25762	17810
473	25816	17755
474	25864	17696
475	25912	17638
476	25964	17581
477	26014	17524
478	26064	17467
479	26119	17413
480	26172	17357
481	26231	17306
482	26288	17253
483	26345	17200
484	26404	17149
485	26462	17097
486	26523	17046
487	26583	16995
488	26638	16942
489	26694	16888
490	26766	16844
491	26836	16800
492	26907	16755
493	26977	16711
494	27037	16659
495	27093	16605
496	27151	16553
497	27213	16502
498	27287	16459
499	27361	16416
500	27418	16363
501	27479	16312
502	27543	16263
503	27599	16208
504	27658	16156
505	27717	16104
506	27773	16050
507	27824	15993
508	27876	15937
509	27926	15880
510	27979	15824
511	28033	15769
512	28086	15712
513	28140	15658
514	28193	15602
515	28249	15548
516	28304	15493
517	28355	15436
518	28413	15383
519	28471	15331
520	28527	15276
521	28584	15223
522	28642	15169
523	28710	15122
524	28774	15072
525	28850	15028
526	28918	14980
527	28983	14930
528	29044	14879
529	29108	14828
530	29172	14778
531	29238	14729
532	29308	14681
533	29376	14633
534	29433	14579
535	29487	14523
536	29545	14470
537	29607	14418
538	29663	14363
539	29722	14310
540	29776	14255
541	29840	14204
542	29896	14150
543	29951	14094
544	30008	14040
545	30060	13984
546	30113	13928
547	30166	13872
548	30218	13815
549	30273	13760
550	30323	13703
551	30376	13647
552	30427	13590
553	30479	13534
554	30531	13477
555	30582	13421
556	30635	13365
557	30687	13308
558	30736	13251
559	30789	13195
560	30836	13137
561	30888	13081
562	30954	13030
563	31014	12977
564	31064	12920
565	31117	12864
566	31172	12809
567	31227	12754
568	31284	12700
569	31341	12646
570	31404	12594
571	31460	12540
572	31516	12485
573	31570	12430
574	31626	12375
575	31682	12321
576	31734	12264
577	31787	12209
578	31842	12154
579	31894	12097
580	31946	12041
581	31997	11985
582	32049	11929
583	32102	11873
584	32155	11817
585	32210	11762
586	32263	11707
587	32320	11652
588	32374	11597
589	32425	11541
590	32478	11485
591	32529	11429
592	32581	11373
593	32634	11317
594	32690	11262
595	32741	11206
596	32793	11151
597	32848	11096
598	32901	11040
599	32951	10983
600	33003	10927
601	33079	10879
602	33140	10827
603	33191	10770
604	33244	10715
605	33296	10659
606	33348	10603
607	33411	10550
608	33462	10494
609	33514	10438
610	33576	10386
611	33633	10331
612	33694	10278
613	33755	10225
614	33820	10173
615	33884	10121
616	33947	10068
617	34007	10015
618	34070	9962
619	34136	9910
620	34206	9859
621	34260	9804
622	34352	9759
623	34414	9706
624	34467	9650
625	34519	9595
626	34574	9539
627	34628	9484
628	34681	9428
629	34735	9373
630	34786	9316
631	34837	9260
632	34891	9205
633	34945	9149
634	34997	9093
635	35046	9037
636	35099	8981
637	35158	8927
638	35220	8874
639	35264	8816
640	35321	8761
641	35372	8705
642	35422	8649
643	35481	8594
644	35541	8541
645	35598	8486
646	35648	8430
647	35701	8374
648	35750	8318
649	35801	8261
650	35851	8205
651	35903	8149
652	35956	8094
653	36007	8038
654	36057	7982
655	36107	7926
656	36159	7870
657	36217	7815
658	36297	7766
659	36379	7716
660	36445	7664
661	36507	7610
662	36574	7557
663	36633	7503
664	36695	7449
665	36755	7395
666	36807	7339
667	36862	7284
668	36915	7228
669	36969	7173
670	37020	7117
671	37073	7061
672	37127	7006
673	37178	6950
674	37237	6895
675	37300	6842
676	37361	6788
677	37451	6739
678	37517	6685
679	37571	6630
680	37621	6574
681	37674	6518
682	37724	6462
683	37775	6406
684	37826	6350
685	37879	6294
686	37929	6238
687	37981	6182
688	38032	6127
689	38084	6071
690	38135	6015
691	38186	5959
692	38237	5903
693	38289	5848
694	38339	5792
695	38392	5736
696	38444	5681
697	38496	5625
698	38548	5569
699	38597	5513
700	38649	5458
701	38710	5404
702	38771	5349
703	38833	5295
704	38888	5240
705	38945	5185
706	39000	5130
707	39059	5075
708	39123	5021
709	39192	4968
710	39250	4913
711	39318	4859
712	39383	4805
713	39439	4750
714	39498	4695
715	39553	4640
716	39616	4585
717	39674	4531
718	39728	4475
719	39783	4420
720	39841	4365
721	39897	4310
722	39951	4254
723	40007	4199
724	40061	4144
725	40115	4088
726	40167	4033
727	40217	3977
728	40269	3922
729	40317	3866
730	40370	3810
731	40423	3755
732	40475	3699
733	40526	3644
734	40599	3590
735	40657	3535
736	40712	3480
737	40761	3424
738	40813	3368
739	40862	3313
740	40912	3257
741	40963	3202
742	41017	3146
743	41068	3091
744	41119	3035
745	41172	2980
746	41224	2924
747	41284	2870
748	41342	2815
749	41409	2760
750	41486	2706
751	41543	2651
752	41610	2597
753	41672	2542
754	41731	2487
755	41782	2431
756	41835	2376
757	41888	2320
758	41938	2265
759	41991	2210
760	42042	2154
761	42092	2099
